Date,Close/Last,Volume,Open,High,Low
02/08/2022,$2787.98,2714180,$2780.53,$2800,$2740.277
02/07/2022,$2784.02,2748665,$2885,$2885,$2778
02/04/2022,$2865.86,2899911,$2868.893,$2897.5,$2810.3
02/03/2022,$2861.8,3575861,$2914.11,$2993.5,$2853.3063
02/02/2022,$2960,6159961,$3025,$3030.9315,$2910.4501
02/01/2022,$2752.88,3432182,$2751.89,$2755.855,$2687.37
01/31/2022,$2706.07,1999300,$2683.24,$2709.46,$2644.19
01/28/2022,$2667.02,1718074,$2593.18,$2667.13,$2569.7
01/27/2022,$2580.1,1600939,$2626.08,$2653.045,$2578.6458
01/26/2022,$2584.66,2456475,$2622.38,$2660,$2542.84
01/25/2022,$2538.7,2348028,$2574.8,$2587.98,$2530.01
01/24/2022,$2616.08,3834712,$2519.56,$2624.06,$2490
01/21/2022,$2607.03,2782571,$2651.87,$2697.3106,$2601.73
01/20/2022,$2666.15,1495357,$2725,$2752.52,$2659.2931
01/19/2022,$2702.33,1432382,$2730.47,$2759.19,$2700.31
01/18/2022,$2719.96,1744405,$2723.5,$2742.63,$2708.765
01/14/2022,$2789.61,1483064,$2741.58,$2814.84,$2739.97
01/13/2022,$2771.74,1571830,$2830.8,$2857,$2768.18
01/12/2022,$2828.61,1305602,$2823,$2852.155,$2813.89
01/11/2022,$2794.72,1436485,$2760.14,$2804.32,$2733.845
01/10/2022,$2773.39,2220406,$2701.56,$2776.39,$2663.29
01/07/2022,$2740.34,1488028,$2762.91,$2768.97,$2715.33
01/06/2022,$2754.95,1867371,$2739.97,$2798.8,$2731.17
01/05/2022,$2755.5,2730914,$2888.4,$2889.9875,$2753.76
01/04/2022,$2887.99,1419972,$2907.92,$2929.6978,$2874.325
01/03/2022,$2899.83,1433947,$2901.1,$2917.02,$2874.255
12/31/2021,$2897.04,906759,$2921,$2933.97,$2897.04
12/30/2021,$2924.01,784386,$2933.88,$2946,$2919.89
12/29/2021,$2933.1,889373,$2932.886,$2948.34,$2912.95
12/28/2021,$2933.74,912715,$2964.72,$2965.9801,$2921.0856
12/27/2021,$2958.13,799223,$2945.12,$2966.8799,$2943.385
12/23/2021,$2938.33,1319172,$2930,$2964.87,$2929.04
12/22/2021,$2928.3,1316119,$2861.35,$2930,$2861.35
12/21/2021,$2869.45,1437768,$2841.07,$2877.38,$2810.05
12/20/2021,$2832.14,1359618,$2800,$2835.49,$2786.42
12/17/2021,$2834.5,2550894,$2850,$2876.69,$2826
12/16/2021,$2888.9,1682519,$2943.41,$2953.535,$2872.14
12/15/2021,$2928.82,1818523,$2868.18,$2934.42,$2833.5578
12/14/2021,$2878.14,1922312,$2879.36,$2889.6,$2824.295
12/13/2021,$2916.53,1353470,$2955.63,$2959.4,$2910.35
12/10/2021,$2960.03,1223138,$2974,$2979.55,$2934.075
12/09/2021,$2952.77,1163486,$2951.82,$2982,$2942.3001
12/08/2021,$2963.73,1213516,$2951.93,$2967.86,$2928.12
12/07/2021,$2945.39,1612015,$2911.93,$2950.6234,$2904.55
12/06/2021,$2863.1,1530905,$2860.81,$2877.05,$2803
12/03/2021,$2840.03,2061508,$2873.62,$2888,$2806.02
12/02/2021,$2859.32,1459742,$2825,$2877.29,$2804.29
12/01/2021,$2821.03,1702762,$2880,$2919.005,$2818.24
11/30/2021,$2837.95,2103361,$2900.17,$2920,$2832.03
11/29/2021,$2910.61,1629752,$2880,$2925.95,$2877.87
11/26/2021,$2843.66,1523462,$2886.97,$2891.15,$2836.85
11/24/2021,$2922.4,902007,$2909.47,$2924.985,$2887.46
11/23/2021,$2915.64,1361558,$2923.06,$2933.2,$2882.3
11/22/2021,$2926.04,1531460,$2986.65,$2996.59,$2922.95
11/19/2021,$2978.53,1684969,$2999.509,$3019.33,$2977.98
11/18/2021,$2996.77,1781411,$2964.83,$3011.61,$2957.69
11/17/2021,$2960.94,979975,$2960.55,$2971.19,$2944.8
11/16/2021,$2957.52,945200,$2962.99,$2975.25,$2946.25
11/15/2021,$2969.04,1175352,$2978.01,$2990.99,$2951.5
11/12/2021,$2973.56,1118000,$2932.31,$2977,$2908.2201
11/11/2021,$2915.33,825874,$2929.79,$2950.71,$2912.01
11/10/2021,$2917.87,1498490,$2950,$2961.4,$2890.75
11/09/2021,$2978.37,976487,$2984.66,$2996.69,$2944.895
11/08/2021,$2980.62,1152625,$2996.5,$3012.295,$2968.61
11/05/2021,$2977.04,1917737,$2983.39,$3006.55,$2963.94
11/04/2021,$2965.35,1920563,$2942.49,$2994.67,$2926.16
11/03/2021,$2931.96,1374662,$2918.01,$2933.38,$2891.82
11/02/2021,$2908.65,1674112,$2891.59,$2932.18,$2886.71
11/01/2021,$2869.94,2346162,$2960.92,$2960.92,$2864.51
10/29/2021,$2960.92,2166015,$2901.56,$2964.84,$2892.99
10/28/2021,$2916.98,1810319,$2942.69,$2943.16,$2892.535
10/27/2021,$2924.35,4289070,$2788.1,$2973,$2788.1
10/26/2021,$2786.17,2461751,$2785.27,$2801.6588,$2766.09
10/25/2021,$2748.94,1720613,$2751,$2760,$2708.48
10/22/2021,$2751.33,2529448,$2783,$2811.655,$2721.12
10/21/2021,$2837.72,1314613,$2835.38,$2843.12,$2810
10/20/2021,$2835.38,1164403,$2866.76,$2870.9218,$2827.53
10/19/2021,$2864.74,1008150,$2867.75,$2873.25,$2852
10/18/2021,$2855.56,1019808,$2821.53,$2855.92,$2821.389
10/15/2021,$2827.36,1513722,$2832.29,$2834.36,$2815.1
10/14/2021,$2823.02,1596397,$2789.476,$2826.745,$2776.5
10/13/2021,$2751.64,983116,$2748.05,$2760,$2730.3763
10/12/2021,$2728.98,1816612,$2789.6,$2790.14,$2715.2
10/11/2021,$2778.28,897681,$2785.84,$2814.24,$2777.18
10/08/2021,$2795.71,1326292,$2791.54,$2806.6207,$2784.35
10/07/2021,$2784.5,1255507,$2777.84,$2800.84,$2773.024
10/06/2021,$2751.3,1218214,$2695,$2755,$2691
10/05/2021,$2720.46,1620163,$2680.82,$2744.49,$2680.82
10/04/2021,$2673.19,2560097,$2719.21,$2719.21,$2621
10/01/2021,$2730.86,1768009,$2688.95,$2738.21,$2681.46
09/30/2021,$2673.52,1901440,$2685.23,$2710.85,$2671.12
09/29/2021,$2687.07,1542435,$2739.6,$2743.02,$2677.3
09/28/2021,$2716.6,2288610,$2773.1,$2781.93,$2707.2
09/27/2021,$2821.44,1094098,$2816.0853,$2838.7699,$2801.35
09/24/2021,$2844.3,1149195,$2810.77,$2846.605,$2804.82
09/23/2021,$2824.32,1047550,$2819.75,$2833.93,$2808.03
09/22/2021,$2805.67,1252778,$2786.08,$2817.74,$2771.03
09/21/2021,$2780.66,1266595,$2794.99,$2800.23,$2765.56
09/20/2021,$2774.39,2325902,$2763.23,$2780,$2726.435
09/17/2021,$2816,2669223,$2860.61,$2869,$2809.395
09/16/2021,$2872.2,1309771,$2879.01,$2886,$2848.03
09/15/2021,$2888.59,1370379,$2855.43,$2889.01,$2826.95
09/14/2021,$2850.89,983693,$2859.905,$2867.26,$2835
09/13/2021,$2846.65,1104692,$2838.99,$2859,$2825
09/10/2021,$2817.52,1841967,$2884.25,$2894.37,$2814.755
09/09/2021,$2870.82,765855,$2876.81,$2886.21,$2863.55
09/08/2021,$2873.82,917511,$2882,$2888,$2860
09/07/2021,$2885.61,1006595,$2876.69,$2891.3,$2872.38
09/03/2021,$2874.79,992718,$2861.61,$2883.1,$2848.01
09/02/2021,$2865.74,1617907,$2904.32,$2910.385,$2863.695
09/01/2021,$2904.31,1096805,$2900,$2925.075,$2897.67
08/31/2021,$2893.95,1122438,$2902.94,$2903.425,$2885.62
08/30/2021,$2891.81,1221710,$2888,$2919.41,$2883.26
08/27/2021,$2880.08,1439010,$2833.05,$2890.25,$2829.94
08/26/2021,$2828.81,1030466,$2835,$2848.35,$2827.14
08/25/2021,$2841.58,792574,$2832.5,$2843.7897,$2827.52
08/24/2021,$2825.23,963361,$2812.23,$2841.6,$2806.77
08/23/2021,$2800.83,1422670,$2759.39,$2817.49,$2752.15
08/20/2021,$2748.59,1559658,$2720,$2751.08,$2705
08/19/2021,$2713.6,1089127,$2688.71,$2727.05,$2685
08/18/2021,$2708.98,962947,$2730,$2742.085,$2706.43
08/17/2021,$2733.23,1085760,$2755,$2765.31,$2721.64
08/16/2021,$2766.19,1119918,$2750.498,$2767.25,$2705.975
08/13/2021,$2754.55,797372,$2745,$2757.13,$2740.66
08/12/2021,$2743.88,825943,$2719.51,$2746,$2708.51
08/11/2021,$2725.58,767600,$2743.63,$2753.645,$2725.43
08/10/2021,$2736.14,970704,$2746.84,$2755.4461,$2727.29
08/09/2021,$2738.26,888300,$2718.85,$2743.68,$2706.785
08/06/2021,$2714.77,1024406,$2720.84,$2729.45,$2704.2
08/05/2021,$2725.03,893450,$2713.61,$2727,$2696.92
08/04/2021,$2702.51,983801,$2706.99,$2712.99,$2689.74
08/03/2021,$2712.6,1038094,$2702.7,$2714.64,$2666.39
08/02/2021,$2697.09,1081710,$2702.34,$2706.73,$2675.8828
07/30/2021,$2694.53,1278789,$2700.7,$2706.09,$2685.1
07/29/2021,$2715.55,1585786,$2723,$2733.2203,$2710.86
07/28/2021,$2721.88,4756530,$2726.239,$2765.94,$2705.55
07/27/2021,$2638,2735474,$2685.01,$2687.98,$2602.08
07/26/2021,$2680.7,1528574,$2666.565,$2684.74,$2646.03
07/23/2021,$2660.3,2075321,$2608.61,$2667.9799,$2596.01
07/22/2021,$2568.43,715094,$2556.88,$2569.66,$2549.9769
